CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1642856,Egor Dëmin,1610612751,BKN,G,19,46,46,1,222,438,0.507,0.468,0.039
1642867,Collin Murray-Boyles,1610612761,TOR,F,20,43,43,1,203,437,0.465,0.479,-0.015
1629731,Dean Wade,1610612739,CLE,F-C,29,42,42,1,184,436,0.422,0.467,-0.045
203897,Zach LaVine,1610612758,SAC,G,30,39,39,1,220,433,0.508,0.475,0.033
1630180,Saddiq Bey,1610612740,NOP,G-F,26,49,49,1,205,432,0.475,0.477,-0.003
1630696,Dru Smith,1610612748,MIA,G,28,55,55,1,187,431,0.434,0.459,-0.025
1629631,De'Andre Hunter,1610612758,SAC,F-G,28,45,45,1,213,430,0.495,0.477,0.018
1629611,Terance Mann,1610612751,BKN,G-F,29,46,46,1,206,429,0.48,0.465,0.015
1641716,Jarace Walker,1610612754,IND,F,22,54,54,1,203,426,0.477,0.469,0.008
1641729,Brice Sensabaugh,1610612762,UTA,F,22,52,52,1,205,422,0.486,0.46,0.026
203935,Marcus Smart,1610612747,LAL,G,31,44,44,1,192,422,0.455,0.459,-0.004
1630551,Justin Champagnie,1610612764,WAS,G-F,24,48,48,1,207,420,0.493,0.471,0.022
203471,Dennis Schröder,1610612739,CLE,G,32,44,44,1,202,418,0.483,0.466,0.017
1630598,Aaron Wiggins,1610612760,OKC,G,27,41,41,1,193,418,0.462,0.468,-0.006
1641796,Pelle Larsson,1610612748,MIA,G,24,44,44,1,191,418,0.457,0.458,-0.001
1629004,Svi Mykhailiuk,1610612762,UTA,G-F,28,45,45,1,201,416,0.483,0.471,0.012
1641854,Craig Porter Jr.,1610612739,CLE,G,25,48,48,1,192,414,0.464,0.461,0.002
1629627,Zion Williamson,1610612740,NOP,F,25,40,40,1,191,414,0.461,0.473,-0.011
1642347,Jamal Shead,1610612761,TOR,G,23,55,55,1,198,414,0.478,0.456,0.022
1642285,Cam Spencer,1610612763,MEM,G,25,51,51,1,211,413,0.511,0.464,0.047
1629640,Keldon Johnson,1610612759,SAS,F-G,26,54,54,1,188,411,0.457,0.475,-0.017
1630245,Ayo Dosunmu,1610612750,MIN,G,26,48,48,1,170,409,0.416,0.459,-0.043
1631107,Nikola Jović,1610612748,MIA,F,22,42,42,1,180,408,0.441,0.469,-0.028
1628960,Grayson Allen,1610612756,PHX,G,30,35,35,1,191,407,0.469,0.467,0.002
1630314,Brandon Williams,1610612742,DAL,G,26,46,46,1,200,405,0.494,0.455,0.038
203083,Andre Drummond,1610612755,PHI,C,32,39,39,1,206,401,0.514,0.497,0.017
1642383,Walter Clayton Jr.,1610612763,MEM,G,22,47,47,1,183,400,0.458,0.453,0.004
1628963,Marvin Bagley III,1610612742,DAL,F,26,41,41,1,176,400,0.44,0.487,-0.047
1631119,Jaylin Williams,1610612760,OKC,F,23,41,41,1,173,398,0.435,0.481,-0.046
1641783,Tristan da Silva,1610612753,ORL,F,24,48,48,1,195,398,0.49,0.462,0.028
1626162,Kelly Oubre Jr.,1610612755,PHI,F-G,30,32,32,1,179,397,0.451,0.467,-0.016
1630549,Day'Ron Sharpe,1610612751,BKN,C,24,51,51,1,197,394,0.5,0.479,0.021
203500,Steven Adams,1610612745,HOU,C,32,32,32,1,170,394,0.431,0.496,-0.064
1626181,Norman Powell,1610612748,MIA,G,32,45,45,1,205,394,0.52,0.464,0.056
1629645,Kevin Porter Jr.,1610612749,MIL,G-F,25,28,28,1,180,391,0.46,0.461,0
201939,Stephen Curry,1610612744,GSW,G,37,39,39,1,193,389,0.496,0.461,0.036
1629628,RJ Barrett,1610612761,TOR,F-G,25,31,31,1,170,389,0.437,0.465,-0.028
1630692,Jordan Goodwin,1610612756,PHX,G,27,52,52,1,191,389,0.491,0.466,0.025
1642461,Spencer Jones,1610612743,DEN,F,24,44,44,1,175,388,0.451,0.468,-0.017
201143,Al Horford,1610612744,GSW,C-F,39,34,34,1,177,386,0.459,0.482,-0.023
1630174,Aaron Nesmith,1610612754,IND,G-F,26,32,32,1,169,385,0.439,0.47,-0.031
1630170,Devin Vassell,1610612759,SAS,G-F,25,41,41,1,181,382,0.474,0.472,0.002
1629637,Jaxson Hayes,1610612747,LAL,C-F,25,45,45,1,174,381,0.457,0.483,-0.027
1630188,Jalen Smith,1610612741,CHI,F-C,25,42,42,1,177,380,0.466,0.487,-0.021
1630540,Miles McBride,1610612752,NYK,G,25,35,35,1,170,377,0.451,0.457,-0.006
1630200,Tre Jones,1610612741,CHI,G,26,38,38,1,186,377,0.493,0.457,0.036
203924,Jerami Grant,1610612757,POR,F,31,40,40,1,177,376,0.471,0.473,-0.002
202710,Jimmy Butler III,1610612744,GSW,F,36,38,38,1,188,375,0.501,0.469,0.032
1630163,LaMelo Ball,1610612766,CHA,G,24,45,45,1,190,375,0.507,0.459,0.048
1631323,Simone Fontecchio,1610612748,MIA,F,30,52,52,1,163,374,0.436,0.458,-0.022
1630172,Patrick Williams,1610612741,CHI,F,24,51,51,1,190,374,0.508,0.476,0.032
1631165,Keon Ellis,1610612739,CLE,G,26,47,47,1,174,374,0.465,0.468,-0.002
1629011,Mitchell Robinson,1610612752,NYK,C-F,27,39,39,1,167,372,0.449,0.49,-0.041
1630559,Austin Reaves,1610612747,LAL,G,27,28,28,1,185,371,0.499,0.469,0.03
