GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1626145-1628976-1630217-1631094-1641710-,T. Jones - W. Carter Jr. - D. Bane - P. Banchero - A. Black,1610612753,ORL,15,7,8,0.467,112.928333,109,207,0.527,34,82,0.415,38,47,0.809,14,71,85,72,16,19,14,14,37,37,290,9,59,139,13678,7073,45,40,46,4008,41,48,3989,61,56,3972,133,53,64,34,13579,43,31,13715,13679,64,41,683,338785
Lineups,-1628976-1630217-1631094-1641710-1641783-,W. Carter Jr. - D. Bane - P. Banchero - A. Black - T. da Silva,1610612753,ORL,22,8,14,0.364,111.471667,104,203,0.512,30,77,0.39,40,51,0.784,14,59,73,71,24,21,12,9,52,48,278,7,19,91,13740,7279,46,43,48,4136,50,54,4374,54,50,4223,133,81,89,36,13659,36,41,13664,13715,36,44,1044,334415
Lineups,-1629627-1630180-1630530-1642847-1642852-,Z. Williamson - S. Bey - T. Murphy III - J. Fears - D. Queen,1610612740,NOP,16,6,10,0.375,106.701667,92,194,0.474,23,56,0.411,52,67,0.776,21,80,101,63,29,13,9,14,39,46,259,-32,47,199,13721,7255,47,56,50,6227,87,98,4011,27,25,4292,62,38,41,44,13689,89,66,13715,13683,42,53,13727,320105
Lineups,-1630166-1631101-1631200-1641739-1642270-,D. Avdija - S. Sharpe - K. Murray - T. Camara - D. Clingan,1610612757,POR,11,5,6,0.455,106.236667,96,208,0.462,32,90,0.356,39,55,0.709,47,72,119,57,37,16,8,12,29,48,263,15,160,282,13557,7083,48,50,45,6359,46,36,4656,57,43,4974,13,50,27,55,13713,60,81,13696,13644,36,50,252,318710
Lineups,-202696-1629632-1630171-1630581-1641824-,N. Vučević - C. White - I. Okoro - J. Giddey - M. Buzelis,1610612741,CHI,15,9,6,0.6,103.338333,108,212,0.509,37,89,0.416,21,29,0.724,22,76,98,79,20,13,7,8,35,35,274,-7,59,61,13557,5495,49,41,42,4165,32,40,3987,160,133,4879,58,46,44,31,13633,89,105,13640,13672,74,45,12506,310015
Lineups,-201935-1627739-1627826-1628381-1642920-,J. Harden - K. Dunn - I. Zubac - J. Collins - K. Sanders,1610612746,LAC,12,5,7,0.417,102.88,98,198,0.495,26,66,0.394,43,47,0.915,22,84,106,55,30,13,7,11,34,41,265,19,123,282,13630,7144,50,46,49,6043,67,75,4364,50,56,3338,58,31,38,59,13692,89,105,13690,13666,55,49,137,308640
Lineups,-1628991-1631246-1641744-1642377-1642907-,J. Jackson Jr. - V. Williams Jr. - Z. Edey - J. Wells - C. Coward,1610612763,MEM,9,5,4,0.556,101.518333,96,191,0.503,25,66,0.379,21,32,0.656,21,94,115,59,30,14,13,12,37,37,238,27,261,282,13171,5679,51,50,52,4190,75,75,4442,160,121,5469,62,27,31,50,13692,80,36,13696,13679,64,60,54,304555
Lineups,-201566-201942-1630173-1631099-1642875-,R. Westbrook - D. DeRozan - P. Achiuwa - K. Murray - M. Raynaud,1610612758,SAC,9,1,8,0.111,99.883333,80,191,0.419,12,48,0.25,31,40,0.775,28,70,98,47,30,15,11,11,32,31,203,-55,261,2730,13678,7997,52,71,52,7252,216,135,6007,84,80,4294,34,54,44,85,13692,70,49,13690,13662,92,85,13744,299650
Lineups,-1628976-1630217-1630532-1630591-1641783-,W. Carter Jr. - D. Bane - F. Wagner - J. Suggs - T. da Silva,1610612753,ORL,11,9,2,0.818,98.335,86,187,0.46,24,71,0.338,34,40,0.85,21,70,91,53,35,18,10,10,44,31,230,-22,160,61,11030,4543,53,61,55,6437,80,62,4707,73,80,3665,62,54,56,65,13710,48,58,13676,13701,92,65,13675,295005
Lineups,-1629130-1630191-1630595-1631105-1641709-,D. Robinson - I. Stewart - C. Cunningham - J. Duren - A. Thompson,1610612765,DET,24,17,7,0.708,98.073333,94,182,0.516,20,61,0.328,32,39,0.821,21,77,98,58,27,16,20,4,29,38,240,13,11,9,13630,4879,54,54,59,4112,112,83,5644,80,85,3921,62,43,44,54,13681,60,14,13351,13644,60,59,343,294220
Lineups,-203484-1629111-1630583-1642285-1642377-,K. Caldwell-Pope - J. Landale - S. Aldama - C. Spencer - J. Wells,1610612763,MEM,18,9,9,0.5,97.065,95,191,0.497,38,92,0.413,33,46,0.717,34,59,93,65,30,13,5,7,40,46,261,18,32,61,13708,5714,55,52,52,6038,29,35,3993,77,60,4888,24,81,53,42,13692,89,195,13606,13690,42,51,159,291195
Lineups,-201142-203500-1630578-1631095-1641708-,K. Durant - S. Adams - A. Sengun - J. Smith Jr. - A. Thompson,1610612745,HOU,14,8,6,0.571,97.016667,80,181,0.442,10,39,0.256,46,57,0.807,42,61,103,35,33,13,8,8,35,45,216,2,79,91,13557,5634,56,71,60,6768,278,173,6005,42,40,3974,18,75,40,139,13704,89,81,13640,13672,45,74,3467,291050
Lineups,-1630166-1631101-1631321-1641739-1642270-,D. Avdija - S. Sharpe - S. Cissoko - T. Camara - D. Clingan,1610612757,POR,20,13,7,0.65,96.241667,76,165,0.461,35,79,0.443,41,51,0.804,15,62,77,49,37,15,7,12,36,41,228,-4,24,16,13630,5439,57,77,70,6432,38,51,3775,51,50,3978,115,73,83,75,13713,70,105,13696,13676,55,66,10850,288725
Lineups,-1627783-1629614-1630643-1630679-1631097-,P. Siakam - A. Nembhard - J. Huff - E. Thompson - B. Mathurin,1610612754,IND,8,2,6,0.25,96.2,67,180,0.372,30,88,0.341,38,44,0.864,21,67,88,49,17,12,14,11,32,38,202,-16,340,1303,13557,7765,58,100,61,8215,50,43,4701,61,69,3560,62,61,58,75,13597,106,31,13690,13662,60,87,13548,288600
Lineups,-1627759-1628401-1629674-1630202-1631169-,J. Brown - D. White - N. Queta - P. Pritchard - J. Minott,1610612738,BOS,12,7,5,0.583,96.195,86,187,0.46,20,71,0.282,30,35,0.857,27,65,92,52,24,23,15,10,48,37,222,1,123,139,13413,5624,59,61,55,6437,112,62,5912,90,107,3565,35,66,54,67,13659,32,27,13676,13711,64,69,4611,288585
Lineups,-1630180-1630530-1631121-1642847-1642852-,S. Bey - T. Murphy III - B. McGowens - J. Fears - D. Queen,1610612740,NOP,9,2,7,0.222,95.94,93,187,0.497,20,44,0.455,39,46,0.848,17,57,74,52,24,17,1,11,34,39,245,-33,261,1303,13630,7893,60,55,55,6039,112,152,3664,57,60,3673,95,89,87,67,13659,52,1555,13690,13666,58,55,13730,287820
