PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT
1628436,Luke Kornet,1610612759,SAS,30,Luke,118,169,0.698,9,23,0.391,2,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1631247,Luke Travers,1610612739,CLE,24,Luke,7,15,0.467,1,4,0.25,0,1,0,1,2,0.5,0,2,0,0,12,0,0,0,0,1,4,0.25
1630644,Mac McClung,1610612741,CHI,27,Mac,6,8,0.75,1,5,0.2,0,0,0,0,2,0,0,0,0,2,10,0.2,0,0,0,0,2,0
1631103,Malaki Branham,1610612764,WAS,22,Malaki,21,35,0.6,5,16,0.313,3,3,1,0,2,0,1,3,0.333,13,32,0.406,0,0,0,1,5,0.2
1642502,Malevy Leons,1610612744,GSW,26,Malevy,1,2,0.5,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1628370,Malik Monk,1610612758,SAC,28,Malik,36,54,0.667,42,123,0.341,23,50,0.46,5,17,0.294,8,18,0.444,76,174,0.437,0,0,0,13,35,0.371
1630699,MarJon Beauchamp,1610612755,PHI,25,MarJon,3,4,0.75,0,1,0,0,2,0,0,1,0,0,1,0,3,5,0.6,0,0,0,0,2,0
1631204,Marcus Sasser,1610612765,DET,25,Marcus,7,11,0.636,5,8,0.625,2,6,0.333,2,4,0.5,1,2,0.5,15,38,0.395,0,0,0,3,6,0.5
203935,Marcus Smart,1610612747,LAL,31,Marcus,37,55,0.673,25,65,0.385,10,21,0.476,17,36,0.472,7,23,0.304,45,151,0.298,0,0,0,24,59,0.407
1641813,Mark Sears,1610612749,MIL,24,Mark,1,1,1,1,3,0.333,0,1,0,0,0,0,0,0,0,4,8,0.5,0,0,0,0,0,0
1631109,Mark Williams,1610612756,PHX,24,Mark,188,258,0.729,50,97,0.515,5,11,0.455,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
1628963,Marvin Bagley III,1610612742,DAL,26,Marvin,128,183,0.699,27,64,0.422,3,3,1,2,3,0.667,0,1,0,7,17,0.412,0,0,0,2,4,0.5
203486,Mason Plumlee,1610612759,SAS,35,Mason,9,11,0.818,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641824,Matas Buzelis,1610612741,CHI,21,Matas,156,251,0.622,26,65,0.4,4,11,0.364,22,54,0.407,11,40,0.275,80,210,0.381,0,0,0,33,94,0.351
1629680,Matisse Thybulle,1610612757,POR,28,Matisse,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0.667,0,0,0,0,0,0
1631108,Max Christie,1610612742,DAL,23,Max,61,86,0.709,27,73,0.37,16,38,0.421,33,70,0.471,21,43,0.488,69,176,0.392,0,0,0,54,113,0.478
1642917,Max Shulga,1610612738,BOS,23,Max,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
1628467,Maxi Kleber,1610612747,LAL,34,Maxi,12,19,0.632,4,9,0.444,1,4,0.25,0,2,0,0,1,0,6,18,0.333,0,0,0,0,3,0
1642875,Maxime Raynaud,1610612758,SAC,22,Maxime,76,105,0.724,106,197,0.538,7,19,0.368,1,7,0.143,0,4,0,10,30,0.333,0,0,0,1,11,0.091
1642877,Micah Peavy,1610612740,NOP,24,Micah,49,86,0.57,11,34,0.324,3,12,0.25,3,18,0.167,5,29,0.172,13,41,0.317,0,0,0,8,47,0.17
1630695,Micah Potter,1610612754,IND,27,Micah,18,27,0.667,6,9,0.667,0,2,0,2,11,0.182,10,26,0.385,15,35,0.429,0,0,0,12,37,0.324
1629008,Michael Porter Jr.,1610612751,BKN,27,Michael,133,169,0.787,37,85,0.435,42,119,0.353,7,33,0.212,9,21,0.429,134,336,0.399,0,0,0,16,54,0.296
1628969,Mikal Bridges,1610612752,NYK,29,Mikal,128,165,0.776,58,122,0.475,46,101,0.455,26,56,0.464,34,84,0.405,58,166,0.349,0,0,0,60,140,0.429
201144,Mike Conley,1610612750,MIN,38,Mike,7,16,0.438,5,19,0.263,2,8,0.25,7,18,0.389,7,20,0.35,28,93,0.301,0,0,0,14,38,0.368
1628970,Miles Bridges,1610612766,CHA,27,Miles,142,223,0.637,80,176,0.455,10,26,0.385,13,41,0.317,21,59,0.356,77,241,0.32,1,1,1,34,100,0.34
1642939,Miles Kelly,1610612742,DAL,23,Miles,2,2,1,1,3,0.333,2,2,1,3,8,0.375,4,8,0.5,1,10,0.1,0,0,0,7,16,0.438
1630540,Miles McBride,1610612752,NYK,25,Miles,21,34,0.618,8,26,0.308,26,59,0.441,15,38,0.395,12,31,0.387,75,174,0.431,0,0,0,27,69,0.391
1629011,Mitchell Robinson,1610612752,NYK,27,Mitchell,82,118,0.695,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1628964,Mo Bamba,1610612761,TOR,27,Mo,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0
1642885,Mohamed Diawara,1610612752,NYK,20,Mohamed,12,24,0.5,2,7,0.286,7,9,0.778,3,3,1,8,9,0.889,15,51,0.294,0,0,0,11,12,0.917
1628420,Monte Morris,1610612754,IND,30,Monte,4,6,0.667,1,5,0.2,0,1,0,0,2,0,0,1,0,2,5,0.4,0,0,0,0,3,0
1629021,Moritz Wagner,1610612753,ORL,28,Moritz,22,31,0.71,4,14,0.286,0,2,0,1,4,0.25,3,5,0.6,11,24,0.458,0,0,0,4,9,0.444
1630541,Moses Moody,1610612744,GSW,23,Moses,53,71,0.746,14,52,0.269,11,29,0.379,25,67,0.373,28,51,0.549,74,199,0.372,0,0,0,53,118,0.449
1631243,Mouhamed Gueye,1610612737,ATL,23,Mouhamed,59,81,0.728,10,36,0.278,4,13,0.308,9,36,0.25,9,33,0.273,10,28,0.357,0,0,0,18,69,0.261
1630619,Moussa Cisse,1610612742,DAL,23,Moussa,40,62,0.645,2,7,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1631217,Moussa Diabaté,1610612766,CHA,24,Moussa,133,187,0.711,24,59,0.407,2,5,0.4,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1
1626167,Myles Turner,1610612749,MIL,29,Myles,62,95,0.653,25,68,0.368,18,41,0.439,7,14,0.5,15,35,0.429,86,230,0.374,0,0,0,22,49,0.449
1642066,Myron Gardner,1610612748,MIA,24,Myron,18,29,0.621,3,9,0.333,0,1,0,1,5,0.2,3,9,0.333,14,31,0.452,0,0,0,4,14,0.286
1642368,N'Faly Dante,1610612737,ATL,24,N'Faly,1,2,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641772,Nae'Qwan Tomlin,1610612739,CLE,25,Nae'Qwan,88,127,0.693,9,24,0.375,0,0,0,6,20,0.3,7,39,0.179,6,28,0.214,0,0,0,13,59,0.22
1630230,Naji Marshall,1610612742,DAL,28,Naji,112,157,0.713,118,203,0.581,16,36,0.444,11,39,0.282,17,41,0.415,20,76,0.263,0,0,0,28,80,0.35
1629675,Naz Reid,1610612750,MIN,26,Naz,78,108,0.722,77,149,0.517,8,27,0.296,26,64,0.406,24,54,0.444,85,232,0.366,0,1,0,50,118,0.424
